ID,Price_pred
845,2274770.3007649556
1924,1054035.7054732938
10718,1245980.235250635
12076,4972641.268694535
12254,2025568.750296479
9950,2833573.141815832
1548,2717248.625280022
526,1902347.6613390646
6776,1246128.6868812141
1851,1348769.715207023
9188,1893982.8019142854
3382,2959025.613166473
242,2473695.8409041706
6439,1852809.5558530001
1561,2630845.980106358
5339,2477364.116201757
7387,2320727.6722432985
11576,1718503.2494646618
5984,4116100.8596803355
4486,1757950.20165136
2205,974996.0977299649
3468,1382447.188582023
4226,2903666.047494014
2088,2381030.0386824473
2118,2745214.090580986
8036,1476711.5040914987
23,1243196.1965088279
1898,2047416.6637291543
6976,2470095.6444075187
1465,3357671.177438379
2040,1509592.190366023
482,1545302.4061880622
5122,1909902.5090848724
3447,1344524.704718759
12877,2410788.4327364
3780,1287421.5552868003
1285,1774333.7707205801
9200,2043356.6708803403
921,2986693.7806594595
3060,3022243.373339631
1082,1071928.584476494
71,2315571.543930057
4464,1854224.1966487723
4576,3422020.3440245604
897,2902215.6821128214
1756,1069670.9265737447
8745,2319300.1441941215
806,1511210.2899601152
803,1408310.1395187092
7613,1517219.0808743534
243,1219620.4852706443
8135,1262292.193393854
1527,2290625.6976075773
2825,1335890.0086714686
666,1057384.7223238735
12028,1536052.6338692172
2308,2060565.033009511
11223,1741480.1861161068
1479,981318.9215172709
2057,2340193.226396644
2368,1091767.849194493
7638,2614549.78369895
432,2300028.2299305424
9800,1769578.9814858127
2140,3201132.60284114
837,2084398.0632336205
3227,2150353.781262506
12412,2329322.9192282367
10267,1306920.1634040147
3850,3523723.8669393216
382,4019513.429816677
1280,2354185.819001827
2226,3854345.3238918376
4166,3328879.47450054
5208,3292713.4670544965
4513,2000064.9709766298
10814,3356195.7243824606
3120,2918685.6051641433
7915,1833672.9487881556
3513,2364838.687116128
9041,1339922.7895943401
561,1299628.6688451609
11041,2917205.528280551
2920,2681724.33121273
2042,1054543.195644801
10220,1613060.040582486
11511,1846330.5099525512
8424,2978726.0306448624
5801,3013386.037323215
10746,1161958.7089674545
11018,1249455.7359719663
816,675591.2060305674
10413,1681870.2252056717
4471,2955131.5092778783
1928,2142494.4203487616
323,1609487.6581132712
11548,3095247.5718993824
12564,2580907.528339984
5817,3278059.917654297
1030,1345633.1350644361
3888,1804786.918553813
2427,1899661.0835012738
5378,1668804.4844318165
3701,1480802.3547531094
4536,1566652.0547420045
3799,2454041.697561607
9431,2474621.4361556093
10878,1298065.5413783845
2028,1007503.1977371637
5598,2053362.761209778
5828,4431206.707341611
2842,2026224.120198523
279,2280249.9255868886
4812,2665814.7242600955
11406,2340043.4573368398
1086,1427355.035287473
2696,1404145.8838372694
9220,1358223.746723533
1496,1289202.7047742628
3737,1383212.4237888528
12211,3723109.741049343
1556,1925500.5726690264
1066,1310350.5844698115
1836,1138169.97886886
10913,1318282.6988826569
1868,1445787.5636435233
12610,3380517.366023643
12146,1698080.6187956946
2087,1709496.3850948766
2916,2369112.8143831003
10188,2813344.638021504
3253,1489900.3127473437
9082,2302515.582713378
12493,1411430.402213736
5898,3205592.99519536
8409,2267353.7623325353
5885,2108789.6624732283
1101,984523.2822433466
10071,2102309.4456116613
11403,4308160.546474326
728,1146494.97195269
11647,3772594.3386135506
1931,1466947.1453875548
232,3116171.053299165
3988,1822175.282901386
9416,1674922.3039823635
1866,1953161.0640106818
5685,2876903.6835228414
2779,1998475.3879315637
3294,3374539.3891659
1471,2279223.663011531
2960,1272120.4803476832
10447,1895650.8633471013
1220,2245223.163018093
69,1585053.4159237684
2002,4036515.6224634075
2784,2505551.1180385915
1911,2119437.707370325
3023,1239008.1157020049
3394,1619162.8287500676
5920,1528639.5211527373
688,2521741.4779437967
1511,1823499.8460693196
3572,3618868.7451888784
12401,1200597.0229052268
10756,2580209.205796689
4007,1738409.1801936587
3230,1114464.9034357977
12240,3111443.4733706517
10539,1777083.7102072097
3226,3412681.8236156446
2280,1154349.2942214995
3650,2280416.9433544343
8540,1412831.3385617633
5847,1477222.6002243555
6694,3287197.160688077
1336,1290779.423234758
2538,1992056.0616429634
7185,3251807.7258187206
8314,2811632.4652784243
1204,786558.5340120288
2020,1226250.6359767127
2468,1757009.2545973929
9909,1768470.461618037
7935,1100491.1913760565
1361,1633658.2379178999
6138,1499344.0916381427
1914,3754146.7831707667
11090,1866994.4945224496
9320,1565956.2641776686
172,1782948.0832996876
823,3007513.272199017
1189,1213356.37308242
3768,915218.3964259684
2993,1870419.9215915187
12873,1692142.7825354799
1146,1123533.8821774242
19,1568544.091264368
2113,2877347.8650336815
5132,2615598.1929255486
11109,2389962.783813535
1562,1057957.0972331401
337,1734627.8032590628
1981,4230729.521914561
546,1586827.0214648808
7428,2020528.4630305928
230,1270964.5233173207
412,2859156.865585453
2205,900543.2461576937
9114,2642172.800127918
1803,2442582.8183107595
1571,2941281.433518601
12362,3628247.7015256
8109,1928217.707084158
3868,3233832.4327171887
3013,2125694.7033988554
1011,1009334.5311245245
12983,3143980.715696923
116,2010766.7582039058
3245,1731854.5452519143
2253,3478948.4793498055
10879,3106594.972620542
2246,1401057.179130025
11494,2959824.526124464
2259,2914383.730347364
2199,1649358.0281504607
1692,1553644.371568033
5772,1934492.6731528305
10182,2345979.1413499704
5051,2498402.2125663916
5033,4771405.5248710485
11113,2315093.587137386
51,2208235.7382657127
5129,1277283.5213063592
1550,1812511.753523698
616,2797394.431614664
10151,2875636.4897088045
6994,3379366.7727169567
5738,2555346.692261812
5729,4507672.019389877
1122,970850.7666105588
3406,1335961.1378914062
2196,1094245.8921384255
3768,2383039.9297794243
4432,2169696.2014636016
2236,1215075.0288264488
1743,2568970.7484024093
2046,2552145.575327392
781,910208.1845118962
1126,1199225.7703168313
10472,3001982.461463917
3524,1669873.7663749564
6922,1711579.7664656586
6018,2585968.8010145943
2973,1973466.433218808
8323,3674390.7472401946
576,1396889.0243081846
3118,1328519.845455028
5737,2908452.918547778
4642,3741053.9603359494
8425,1547852.1095350278
2245,3873957.973543434
12248,1032785.6941987332
2533,999624.0811893449
3134,1220632.8843591877
5871,2369166.6340763867
9331,2471671.8276775875
959,2028074.7999240647
2753,3152902.662397557
2887,2240858.905514454
11710,2317104.0991246644
5279,3561884.891116721
3249,1224996.894754491
9711,3018727.05913552
5061,2197734.609289346
2493,1872212.0010293534
627,2909594.179485039
2618,1187290.777560743
4698,1213037.2471088362
1575,2066078.2338828258
425,930113.1744110363
944,1453308.3390077283
3508,1575479.8790452632
3674,1805659.5897961876
3351,828331.1951868829
1348,834189.6346866797
1421,1032713.2904294682
9134,1152085.5930880446
6348,2589799.915247021
1277,2571417.2111260747
1152,1134493.3115908208
7783,2533025.9705327745
29,2505083.138463964
11244,1017322.6326908835
5924,4501920.065105137
3001,3666435.599656463
4587,1633673.1287140837
8303,3055801.10601429
2439,1674123.5197343843
3060,2712111.380899013
8575,4381537.404972666
11031,1380572.7427929062
2056,2616950.867469034
8657,1642044.5950012624
7669,2452488.8525624825
371,1960716.4782451857
3985,1840531.8602025972
279,1347988.0202696205
2964,1645601.147409544
5411,1142486.8443416173
4555,2635950.6901428346
3310,2071602.5423464626
2340,1203641.9328592245
2139,1145480.2082508665
578,1791737.1770839775
2263,1045250.2188361596
11168,3356984.501240082
8198,1700488.2542238487
6174,2237422.813388143
7566,1187194.3638639804
5106,3077190.399386995
1977,2055900.8334099185
5663,2593143.8549401434
1398,2152272.191577137
2207,1226915.7777128355
1987,1078720.2400003588
70,2491112.280277962
12282,3868239.8986028144
5913,4572089.478848669
6506,1618187.1043745058
3957,2254330.21919286
881,1142527.833613858
1599,1173138.841302501
1989,4266588.653923267
1719,1386104.9998403806
3669,1193063.4446989403
7029,2127643.382762902
3537,3062151.656894334
8590,2695401.081735529
2974,2119332.8838233156
431,3849987.770897521
12647,2652976.8463225355
2062,2724730.438446648
8040,1882294.5519996383
7744,2130734.252581367
6155,2432342.2482957668
98,2022770.7209045587
3514,1505392.29674375
776,1530455.3638043874
3678,862561.4083831771
2529,1101742.5018468825
1806,1955022.4181283757
6359,1256153.631891904
200,1213151.634404469
1477,2437722.433775986
1679,2698418.4429904795
2323,2170139.430761895
917,1341014.9549400667
430,957436.8086689031
3723,1236865.3424084433
6665,1473508.5927838557
2719,1175326.1459617664
10429,1294654.3926141472
428,1790214.8853017387
3995,1329831.2743090773
393,1055204.13067316
2336,2395577.9621440712
2107,1153110.908903331
1242,928768.979378711
7616,2495231.3626631554
11586,2847400.0994225037
762,1246128.6868812141
1677,1436729.3130216338
9356,1476227.4522123546
4810,2846613.6668585134
1643,2456869.7157132365
1977,2178179.4261950767
1102,1382447.188582023
2231,3321439.0438938597
6369,1951952.6911926598
8299,3918831.9121905733
9088,2713590.675840441
12140,1569408.2477398347
89,5269720.780558905
12948,3146615.3425586754
2387,2831266.96330623
9454,3077213.742989992
10957,2633674.5887332214
6075,1935440.063082302
